,Date,Low,Open,Volume,High,Close,Adjusted Close
8903,09-10-2018,204.4900054931641,205.75,2509100,208.0800018310547,206.0,184.3225860595703
8904,10-10-2018,200.7700042724609,205.0,4148000,206.3500061035156,201.1999969482422,180.02769470214844
8905,11-10-2018,192.3800048828125,201.5500030517578,4175000,202.9600067138672,193.8500061035156,173.45114135742188
8906,12-10-2018,194.1499938964844,195.6199951171875,3231400,198.08999633789065,197.38999938964844,176.61862182617188
8907,15-10-2018,195.0,196.1999969482422,2091100,198.41000366210935,195.58999633789065,175.00802612304688
8908,16-10-2018,196.22000122070312,197.22000122070312,2261500,202.67999267578125,202.33999633789065,181.04774475097656
8909,17-10-2018,198.94000244140625,201.41000366210935,2459700,203.30999755859372,202.7700042724609,181.43251037597656
8910,18-10-2018,200.27999877929688,203.1699981689453,2433600,204.50999450683597,202.72000122070312,181.3877410888672
8911,19-10-2018,201.4499969482422,202.7400054931641,2692500,205.1199951171875,201.8000030517578,180.5645446777344
8912,22-10-2018,197.47000122070312,201.16000366210935,2717500,201.8000030517578,198.0200042724609,177.18231201171875
8913,23-10-2018,193.72000122070312,196.3000030517578,2553500,199.08999633789065,197.63999938964844,176.8423309326172
8914,24-10-2018,187.3699951171875,196.94000244140625,4288300,197.9600067138672,187.8800048828125,168.10934448242188
8915,25-10-2018,181.30999755859372,188.66000366210935,4983700,190.5,188.1000061035156,168.3062286376953
8916,26-10-2018,183.27999877929688,185.3999938964844,4580400,187.3300018310547,185.97999572753903,166.40928649902344
8917,29-10-2018,184.8000030517578,189.32000732421875,3829500,190.91000366210935,188.19000244140625,168.38674926757812
8918,30-10-2018,187.02999877929688,189.42999267578125,4040600,191.0,189.0800018310547,169.1830596923828
8919,31-10-2018,189.0399932861328,189.0800018310547,4541000,195.3300018310547,192.7899932861328,172.50265502929688
8920,01-11-2018,190.9600067138672,192.80999755859372,2827300,194.3800048828125,192.8999938964844,172.6011505126953
8921,02-11-2018,185.8300018310547,194.2899932861328,3696300,195.3500061035156,187.05999755859372,167.37567138671875
8922,05-11-2018,187.5500030517578,187.67999267578125,2713500,190.72000122070312,189.9199981689453,169.9346923828125
8923,06-11-2018,189.5200042724609,190.2100067138672,2139000,192.6999969482422,190.75,170.67733764648438
8924,07-11-2018,192.00999450683597,192.80999755859372,3077800,197.72999572753903,197.6199951171875,176.82443237304688
8925,08-11-2018,195.27999877929688,197.5399932861328,2636600,198.27999877929688,196.0200042724609,175.39279174804688
8926,09-11-2018,192.17999267578125,195.3699951171875,2344900,196.91000366210935,193.16000366210935,172.833740234375
8927,12-11-2018,190.47999572753903,193.6499938964844,2109100,194.72000122070312,191.55999755859372,171.40213012695312
8928,13-11-2018,191.02999877929688,192.91000366210935,2232200,194.82000732421875,191.5500030517578,171.3931884765625
8929,14-11-2018,189.66000366210935,192.02999877929688,2850300,193.3999938964844,190.3600006103516,170.32839965820312
8930,15-11-2018,187.1199951171875,188.33999633789065,2607100,192.6300048828125,192.4499969482422,173.40087890625
8931,16-11-2018,191.69000244140625,192.3600006103516,3862300,195.2400054931641,194.17999267578125,174.95960998535156
8932,19-11-2018,192.8699951171875,194.9199981689453,2629900,196.7700042724609,194.91000366210935,175.61737060546875
8933,20-11-2018,192.75999450683597,196.32000732421875,3288800,198.67999267578125,196.44000244140625,176.99591064453125
8934,21-11-2018,192.6100006103516,195.1699981689453,2173600,197.5500030517578,192.7700042724609,173.68919372558594
8935,23-11-2018,190.7700042724609,191.25,1349200,194.47999572753903,192.57000732421875,173.50900268554688
8936,26-11-2018,192.4900054931641,194.94000244140625,2194600,196.30999755859372,194.3000030517578,175.0677490234375
8937,27-11-2018,191.8699951171875,193.16000366210935,2329200,197.22999572753903,197.1000061035156,177.59059143066406
8938,28-11-2018,196.05999755859372,196.9600067138672,2617800,202.0200042724609,201.4199981689453,181.4830017089844
8939,29-11-2018,199.52999877929688,199.77999877929688,1937800,204.0,202.3699951171875,182.3389587402344
8940,30-11-2018,201.7899932861328,202.1499938964844,4537200,208.9900054931641,208.25,187.63693237304688
8941,03-12-2018,200.3800048828125,208.1000061035156,4035300,208.3000030517578,202.92999267578125,182.8435211181641
8942,04-12-2018,197.2899932861328,204.6000061035156,3881100,205.7400054931641,197.75999450683597,178.1852569580078
8943,06-12-2018,193.1999969482422,195.72000122070312,3437300,199.00999450683597,199.00999450683597,179.31153869628906
8944,07-12-2018,191.0500030517578,197.88999938964844,3152400,198.3999938964844,191.44000244140625,172.49085998535156
8945,10-12-2018,188.19000244140625,193.02999877929688,2718300,194.7899932861328,194.08999633789065,174.87852478027344
8946,11-12-2018,194.33999633789065,195.91000366210935,3047500,198.41000366210935,196.17999267578125,176.7616424560547
8947,12-12-2018,196.3000030517578,198.08999633789065,2665600,199.44000244140625,196.41000366210935,176.9689178466797
8948,13-12-2018,195.22000122070312,196.7700042724609,2129800,197.66000366210935,197.52999877929688,177.97804260253906
8949,14-12-2018,191.66000366210935,195.0399932861328,2981300,196.1499938964844,192.07000732421875,173.05848693847656
8950,17-12-2018,188.63999938964844,192.2400054931641,2919400,194.4499969482422,190.0800018310547,171.26544189453125
8951,18-12-2018,184.41000366210935,191.44000244140625,3164300,191.94000244140625,187.1000061035156,168.58042907714844
8952,19-12-2018,182.52999877929688,187.0200042724609,3995400,191.75999450683597,185.4900054931641,167.12977600097656
8953,20-12-2018,182.72000122070312,185.05999755859372,3806200,186.5399932861328,184.9600067138672,166.6522216796875
8954,21-12-2018,179.2100067138672,183.8500061035156,7829800,187.6100006103516,180.2100067138672,162.3724365234375
8955,24-12-2018,178.2899932861328,179.5,2205100,182.92999267578125,178.39999389648438,160.74156188964844
8956,26-12-2018,178.8800048828125,179.0399932861328,2868200,188.02999877929688,187.8600006103516,169.2651824951172
8957,27-12-2018,183.6199951171875,185.3600006103516,3137900,190.41000366210935,190.3300018310547,171.49070739746094
8958,28-12-2018,190.05999755859372,191.6300048828125,2477500,194.58999633789065,190.72999572753903,171.85110473632812
8959,31-12-2018,191.6100006103516,191.92999267578125,2764800,195.8000030517578,194.6699981689453,175.40109252929688
8960,02-01-2019,188.9499969482422,192.5200042724609,3009100,193.1999969482422,191.8999938964844,172.90528869628906
8961,03-01-2019,188.6699981689453,192.1499938964844,3973900,194.17999267578125,188.97999572753903,170.27432250976562
8962,04-01-2019,190.83999633789065,191.4600067138672,4193400,196.5200042724609,195.44000244140625,176.0949249267578
8963,07-01-2019,194.0,194.75999450683597,3032500,199.3600006103516,198.07000732421875,178.46461486816406
8964,08-01-2019,196.67999267578125,199.1999969482422,3290300,201.1199951171875,200.6100006103516,180.75315856933597
8965,09-01-2019,199.6300048828125,202.3600006103516,2869700,202.8999938964844,200.3699951171875,180.5369110107422
8966,10-01-2019,199.47000122070312,200.3699951171875,3131300,203.5200042724609,202.67999267578125,182.6182556152344
8967,11-01-2019,198.0,200.63999938964844,3379700,200.9900054931641,200.55999755859372,180.7080993652344
8968,14-01-2019,196.66000366210935,199.4900054931641,3378600,200.0,196.77999877929688,177.30227661132812
8969,15-01-2019,196.0399932861328,196.3000030517578,2859800,199.9900054931641,199.3800048828125,179.6448974609375
8970,16-01-2019,197.6000061035156,199.3000030517578,3302400,200.44000244140625,198.88999938964844,179.20343017578125
8971,17-01-2019,197.97999572753903,198.3800048828125,2440200,202.52999877929688,201.9199981689453,181.93348693847656
8972,18-01-2019,201.0399932861328,203.3300018310547,3095000,204.3300018310547,203.8800048828125,183.6995086669922
8973,22-01-2019,200.77999877929688,202.6199951171875,3173100,203.47999572753903,201.97999572753903,181.9875640869141
8974,23-01-2019,200.1300048828125,201.9900054931641,1917500,203.9499969482422,201.55999755859372,181.609130859375
8975,24-01-2019,199.7400054931641,201.6100006103516,2390800,202.3999938964844,200.97000122070312,181.0775451660156
8976,25-01-2019,196.8800048828125,201.9499969482422,4383600,202.22999572753903,198.7700042724609,179.09530639648438
8977,28-01-2019,190.00999450683597,194.97000122070312,4186200,194.97000122070312,191.9499969482422,172.95034790039062
8978,29-01-2019,190.8000030517578,192.17999267578125,3182100,193.6699981689453,192.1100006103516,173.09451293945312
8979,30-01-2019,179.64999389648438,188.88999938964844,8089100,189.75999450683597,184.8600006103516,166.56211853027344
8980,31-01-2019,183.91000366210935,184.77999877929688,4397900,187.6000061035156,187.1100006103516,168.58941650390625
8981,01-02-2019,185.55999755859372,186.50999450683597,2488900,187.8300018310547,187.07000732421875,168.55340576171875
8982,04-02-2019,184.2899932861328,186.9600067138672,2930900,187.13999938964844,186.17999267578125,167.75146484375
8983,05-02-2019,185.72000122070312,186.1999969482422,4933300,189.05999755859372,188.30999755859372,169.670654296875
8984,06-02-2019,188.1100006103516,188.30999755859372,3322400,191.8699951171875,190.75999450683597,171.87811279296875
8985,07-02-2019,182.6699981689453,190.6699981689453,4188100,190.6699981689453,184.22999572753903,165.99447631835938
8986,08-02-2019,183.41000366210935,183.41000366210935,2601000,186.0500030517578,186.0,167.5892791748047
8987,11-02-2019,185.50999450683597,186.7899932861328,2867300,187.1100006103516,185.7899932861328,167.4001007080078
8988,12-02-2019,186.42999267578125,187.3300018310547,2412400,188.9600067138672,188.42999267578125,169.77874755859375
8989,13-02-2019,188.3999938964844,189.22000122070312,2166000,190.1199951171875,188.97999572753903,170.27432250976562
8990,14-02-2019,185.75999450683597,187.58999633789065,2611500,187.8000030517578,186.67999267578125,169.5025634765625
8991,15-02-2019,185.9900054931641,188.07000732421875,3314600,189.1000061035156,188.33999633789065,171.00978088378906
8992,19-02-2019,186.8500061035156,187.7899932861328,2267500,188.47000122070312,186.97000122070312,169.76585388183594
8993,20-02-2019,186.47999572753903,187.19000244140625,3046400,189.22000122070312,186.9199981689453,169.72044372558594
