Date,Close-Last,Volume,Open,High,Low,,,
01-08-2020,105.83 ,1167014,106.51 ,106.96 ,105.24 ,,,
01-07-2020,106.42 ,557770,108.00 ,108.26 ,106.39 ,,,
01-06-2020,108.21 ,718444,107.79 ,108.26 ,106.89 ,,,
01-03-2020,108.28 ,721557,106.98 ,108.48 ,106.74 ,,,
01-02-2020,107.82 ,572358,107.26 ,107.96 ,107.17 ,,,
12-31-2019,107.10 ,308772,107.04 ,107.56 ,106.66 ,,,
12-30-2019,107.02 ,379313,108.12 ,108.12 ,106.83 ,,,
12-27-2019,107.99 ,465468,107.92 ,108.28 ,107.54 ,,,
12-26-2019,107.79 ,241164,106.78 ,107.80 ,106.78 ,,,
12-24-2019,106.69 ,305699,107.08 ,107.42 ,106.42 ,,,
12-23-2019,107.17 ,514827,107.63 ,107.90 ,107.03 ,,,
12-20-2019,107.60 ,861150,107.74 ,108.00 ,106.77 ,,,
12-19-2019,107.02 ,843743,106.34 ,107.36 ,106.10 ,,,
12-18-2019,105.92 ,446087,106.27 ,106.62 ,105.65 ,,,
12-17-2019,106.00 ,700517,105.56 ,106.29 ,104.88 ,,,
12-16-2019,105.20 ,740553,105.17 ,106.72 ,105.07 ,,,
12-13-2019,104.48 ,497942,103.85 ,104.54 ,103.47 ,,,
12-12-2019,104.13 ,417705,103.60 ,104.48 ,103.21 ,,,
12-11-2019,103.89 ,580054,104.53 ,104.97 ,103.80 ,,,
12-10-2019,104.61 ,727044,104.54 ,104.76 ,104.29 ,,,
12-09-2019,104.64 ,496067,105.01 ,105.11 ,104.36 ,,,
12-06-2019,105.23 ,601743,105.02 ,105.62 ,104.69 ,,,
12-05-2019,104.67 ,598794,105.37 ,105.40 ,104.41 ,,,
12-04-2019,105.21 ,604208,104.52 ,105.63 ,104.31 ,,,
12-03-2019,104.48 ,618880,103.96 ,104.99 ,103.96 ,,,
12-02-2019,104.46 ,552546,104.67 ,104.77 ,103.76 ,,,
11-29-2019,104.80 ,264666,104.02 ,104.87 ,103.75 ,,,
11-27-2019,104.25 ,1656660,105.54 ,105.54 ,103.81 ,,,
11-26-2019,104.83 ,534994,104.81 ,105.19 ,104.38 ,,,
11-25-2019,104.64 ,767263,104.79 ,105.02 ,104.15 ,,,
11-22-2019,104.37 ,712068,104.56 ,105.03 ,103.42 ,,,
11-21-2019,104.74 ,774904,105.97 ,106.23 ,104.47 ,,,
11-20-2019,105.70 ,697127,104.98 ,105.81 ,104.78 ,,,
11-19-2019,105.07 ,888223,104.80 ,105.24 ,103.78 ,,,
11-18-2019,104.60 ,972233,103.78 ,104.68 ,103.52 ,,,
11-15-2019,103.59 ,2597184,103.11 ,104.15 ,102.83 ,,,
11-14-2019,103.26 ,804605,103.27 ,103.31 ,102.39 ,,,
11-13-2019,103.27 ,815402,102.05 ,103.75 ,101.24 ,,,
11-12-2019,102.45 ,809438,102.63 ,102.63 ,101.30 ,,,
11-11-2019,102.53 ,825338,100.37 ,102.58 ,100.22 ,,,
11-08-2019,100.66 ,919669,100.31 ,101.26 ,100.16 ,,,
11-07-2019,100.53 ,959297,100.44 ,100.67 ,99.16 ,,,
11-06-2019,99.92 ,678241,98.16 ,100.08 ,97.98 ,,,
11-05-2019,98.42 ,518278,98.92 ,99.06 ,97.90 ,,,
11-04-2019,98.59 ,553739,99.73 ,99.78 ,98.53 ,,,
11-01-2019,99.23 ,543562,100.46 ,100.46 ,98.67 ,,,
10-31-2019,99.77 ,540153,99.74 ,100.23 ,98.97 ,,,
10-30-2019,100.06 ,478533,98.69 ,100.39 ,98.13 ,,,
10-29-2019,98.64 ,446382,98.41 ,100.19 ,98.12 ,,,
10-28-2019,98.73 ,623161,98.67 ,99.08 ,98.15 ,,,
10-25-2019,98.43 ,1021996,99.91 ,100.49 ,97.42 ,,,
10-24-2019,100.99 ,706399,102.00 ,102.00 ,100.27 ,,,
10-23-2019,101.31 ,1365759,99.73 ,101.56 ,98.20 ,,,
10-22-2019,97.86 ,1100439,98.06 ,98.79 ,96.62 ,,,
10-21-2019,98.16 ,662099,99.25 ,99.25 ,97.59 ,,,
10-18-2019,98.62 ,676930,98.38 ,99.05 ,97.65 ,,,
10-17-2019,98.33 ,1102045,98.04 ,98.47 ,97.67 ,,,
10-16-2019,98.06 ,969418,97.61 ,98.24 ,96.43 ,,,
10-15-2019,97.92 ,509840,98.58 ,99.02 ,97.78 ,,,
10-14-2019,98.35 ,468101,99.38 ,99.66 ,98.24 ,,,
10-11-2019,99.31 ,761612,99.75 ,99.83 ,98.24 ,,,
10-10-2019,98.56 ,514769,97.37 ,98.91 ,97.02 ,,,
10-09-2019,97.33 ,582177,97.97 ,98.26 ,96.89 ,,,
10-08-2019,97.08 ,744491,98.64 ,98.64 ,96.88 ,,,
