,Date,Close-Last,Volume,Open,High,Low
775,16-07-2019,103.29,664388,104.45,104.69,103.28
776,15-07-2019,104.22,520655,104.36,104.46,103.6
777,12-07-2019,104.28,532453,104.23,104.62,103.75
778,11-07-2019,104.01,774720,103.04,104.12,102.6
779,10-07-2019,103.02,906376,102.17,103.6,102.17
780,09-07-2019,101.61,458782,100.55,101.67,100.37
781,08-07-2019,100.84,839749,100.91,101.3,100.38
782,05-07-2019,101.05,768721,101.28,101.42,100.11
783,03-07-2019,101.42,1180857,99.23,101.63,99.21
784,02-07-2019,99.66,1400110,97.43,99.89,97.01
785,01-07-2019,97.15,1037455,97.04,97.45,96.42
786,28-06-2019,96.17,904258,96.09,96.78,96.0
787,27-06-2019,96.17,579880,95.16,96.52,95.16
788,26-06-2019,94.61,1366896,98.0,98.08,94.45
789,25-06-2019,98.0,777265,97.08,98.16,96.62
790,24-06-2019,96.87,665354,98.19,98.57,96.3
791,21-06-2019,98.29,977776,97.69,98.73,97.48
792,20-06-2019,97.74,450341,96.99,97.89,96.53
793,19-06-2019,96.51,427977,95.89,96.95,95.44
794,18-06-2019,95.91,517251,95.43,96.33,95.26
795,17-06-2019,95.17,433923,95.93,96.21,95.07
796,14-06-2019,95.71,391269,95.62,95.99,95.0
797,13-06-2019,95.44,478415,95.3,95.52,94.29
798,12-06-2019,95.45,530672,94.96,95.71,94.76
799,11-06-2019,95.26,439613,97.25,97.47,95.13
800,10-06-2019,96.67,433545,96.6,97.11,96.25
801,07-06-2019,96.16,607477,96.05,96.96,95.54
802,06-06-2019,95.89,601058,96.25,96.33,95.34
803,05-06-2019,96.18,976330,93.04,96.32,92.98
804,04-06-2019,92.76,650058,91.5,92.94,91.02
805,03-06-2019,90.71,638626,90.6,91.48,90.17
806,31-05-2019,90.64,541179,90.33,90.99,89.73
807,30-05-2019,90.65,472477,90.6,91.5,90.29
808,29-05-2019,90.34,508491,90.02,90.44,89.62
809,28-05-2019,89.97,671542,90.11,91.25,89.96
810,24-05-2019,90.03,327705,90.42,90.91,89.81
811,23-05-2019,90.02,542456,89.47,90.48,89.18
812,22-05-2019,90.36,591722,90.81,91.05,90.07
813,21-05-2019,91.28,553109,90.88,91.51,90.86
814,20-05-2019,90.26,415921,90.0,90.45,89.8
815,17-05-2019,90.3,822762,90.69,91.06,90.17
816,16-05-2019,90.93,593382,90.87,91.21,90.15
817,15-05-2019,90.76,398492,90.68,91.52,90.26
818,14-05-2019,91.17,590740,91.15,92.19,91.08
819,13-05-2019,90.9,616973,91.32,91.32,90.21
820,10-05-2019,92.51,593735,90.88,92.6,90.4
821,09-05-2019,91.16,400238,90.15,91.38,89.58
822,08-05-2019,90.99,367210,90.81,91.57,90.57
823,07-05-2019,90.9,455391,92.09,92.49,90.45
824,06-05-2019,92.73,391062,91.72,92.92,91.05
825,03-05-2019,92.12,420708,92.61,92.95,92.03
826,02-05-2019,92.26,689838,92.45,92.95,91.98
827,01-05-2019,92.32,716159,92.19,93.32,91.63
828,30-04-2019,92.2,707153,91.44,92.32,91.34
829,29-04-2019,91.45,615222,90.0,91.6,89.84
830,26-04-2019,89.86,791435,89.63,90.09,88.76
831,25-04-2019,89.44,734371,88.85,89.58,88.22
832,24-04-2019,89.18,934402,89.89,91.29,87.97
833,23-04-2019,89.65,1235161,89.76,90.19,89.35
834,22-04-2019,89.73,475460,89.92,90.11,89.3
835,18-04-2019,89.99,556422,90.28,90.56,89.8
836,17-04-2019,90.2,457095,89.81,90.36,89.52
837,16-04-2019,89.75,536764,88.84,89.85,88.46
838,15-04-2019,88.47,368161,87.8,88.67,87.39
839,12-04-2019,87.8,647177,87.76,87.97,86.93
840,11-04-2019,87.03,889620,87.65,87.81,86.52
841,10-04-2019,87.5,600396,87.86,87.94,87.07
842,09-04-2019,87.7,396799,88.34,88.87,87.45
843,08-04-2019,88.76,567432,88.61,89.38,87.99
844,05-04-2019,88.59,780396,89.43,89.48,88.18
845,04-04-2019,89.18,487805,89.3,89.63,88.67
846,03-04-2019,89.3,674048,89.6,89.88,89.0
847,02-04-2019,89.01,674905,88.3,89.09,88.1
848,01-04-2019,88.4,636926,88.23,88.57,87.64
849,29-03-2019,87.49,1221094,87.26,87.83,86.9
850,28-03-2019,86.74,626161,86.22,86.8,85.85
851,27-03-2019,86.1,1093366,85.79,86.22,85.19
852,26-03-2019,85.82,540951,85.36,85.93,84.94
853,25-03-2019,84.91,725651,83.95,85.34,83.95
854,22-03-2019,83.89,725263,83.81,84.33,83.31
855,21-03-2019,84.35,593050,83.08,84.66,83.08
856,20-03-2019,83.36,571033,84.15,84.47,83.2
857,19-03-2019,84.14,518878,84.57,85.3,83.82
858,18-03-2019,84.24,583488,83.8,84.44,83.8
859,15-03-2019,83.55,1149103,84.0,84.6,83.41
860,14-03-2019,83.99,843828,84.72,85.01,83.81
861,13-03-2019,85.05,1062838,84.19,85.97,83.9
862,12-03-2019,83.82,849918,84.35,84.45,83.78
863,11-03-2019,84.02,892601,83.76,84.33,83.74
864,08-03-2019,83.44,1574471,85.23,85.47,82.22
865,07-03-2019,85.97,2419809,87.67,87.67,85.71
866,06-03-2019,87.67,980913,88.96,89.0,87.29
867,05-03-2019,88.74,827057,90.15,90.3,88.4
868,04-03-2019,90.15,790771,92.17,92.49,89.59
869,01-03-2019,91.99,663598,92.21,92.51,91.65
870,28-02-2019,91.57,647855,90.87,91.59,90.87
871,27-02-2019,90.8,1046610,90.86,91.4,90.72
872,26-02-2019,91.1,1241699,90.15,91.24,90.0
873,25-02-2019,90.14,1232393,89.42,90.56,89.41
874,22-02-2019,89.04,685962,88.1,89.1,88.1
875,21-02-2019,88.07,960466,88.16,88.25,87.65
876,20-02-2019,88.08,755046,87.75,88.09,87.22
877,19-02-2019,87.82,702445,87.47,88.19,87.43
878,15-02-2019,87.76,878822,87.57,87.78,86.95
879,14-02-2019,87.16,1292842,87.23,88.94,86.53
880,13-02-2019,87.99,562604,87.83,88.32,87.68
881,12-02-2019,87.57,498870,86.99,87.81,86.92
882,11-02-2019,86.7,556890,87.28,87.39,86.39
883,08-02-2019,87.06,523608,86.56,87.09,85.82
884,07-02-2019,86.82,610276,86.53,86.91,85.77
885,06-02-2019,86.93,478913,86.88,87.12,86.46
886,05-02-2019,86.81,684668,87.06,87.06,86.11
887,04-02-2019,86.96,818540,87.41,87.44,85.89
888,01-02-2019,87.38,715382,88.04,88.69,86.85
889,31-01-2019,88.04,790790,86.38,88.16,86.1
890,30-01-2019,86.69,1365143,85.03,87.98,83.91
891,29-01-2019,85.81,1294776,86.15,86.37,85.42
892,28-01-2019,86.07,591573,85.11,86.08,84.71
893,25-01-2019,85.69,759631,85.7,86.11,85.19
894,24-01-2019,84.99,1004086,84.48,85.08,84.23
895,23-01-2019,84.73,731685,83.54,84.83,83.39
896,22-01-2019,83.4,987390,83.01,83.84,82.38
897,18-01-2019,83.14,684820,82.9,83.81,82.44
898,17-01-2019,82.44,628826,82.95,83.3,82.14
899,16-01-2019,82.96,939475,81.4,83.17,81.01
900,15-01-2019,81.04,460904,80.36,81.27,80.36
901,14-01-2019,80.53,717178,80.05,80.89,80.05
902,11-01-2019,80.7,731013,80.0,80.8,79.59
903,10-01-2019,80.55,723283,79.83,80.68,79.16
904,09-01-2019,79.97,896552,80.01,80.56,79.48
905,08-01-2019,79.58,1105395,80.37,80.98,78.9
906,07-01-2019,79.81,1406475,79.97,80.96,79.04
907,04-01-2019,81.95,1382027,80.03,82.35,79.36
908,03-01-2019,78.82,1058077,81.92,81.92,78.66
909,02-01-2019,81.0,822436,80.6,82.02,80.57
910,31-12-2018,81.57,458131,80.92,82.05,80.55
911,28-12-2018,80.53,966772,81.13,81.85,79.6
912,27-12-2018,80.69,844290,78.47,80.7,77.82
913,26-12-2018,79.27,799438,77.32,79.3,75.49
914,24-12-2018,76.75,568988,78.43,78.89,76.67
915,21-12-2018,79.51,1664851,80.67,82.49,79.48
916,20-12-2018,81.01,964282,82.85,83.2,80.53
917,19-12-2018,83.01,1017404,83.99,84.97,82.41
918,18-12-2018,83.74,1005670,85.75,86.42,83.43
919,17-12-2018,85.25,876581,86.3,86.51,85.03
920,14-12-2018,86.54,535862,86.72,87.34,86.01
921,13-12-2018,87.02,584859,87.41,87.68,86.4
922,12-12-2018,87.49,560252,88.16,88.72,87.41
923,11-12-2018,87.31,858245,88.26,89.62,87.24
924,10-12-2018,87.1,1033451,87.36,87.36,85.11
925,07-12-2018,87.36,1167414,89.95,90.11,87.17
926,06-12-2018,89.89,1715842,89.61,90.19,88.74
927,04-12-2018,90.4,999176,92.59,92.96,90.1
928,03-12-2018,92.65,900657,92.37,93.14,91.96
929,30-11-2018,91.32,930381,90.33,91.62,90.04
930,29-11-2018,90.39,740688,89.8,91.38,89.11
931,28-11-2018,89.93,1198184,89.89,90.21,88.66
932,27-11-2018,89.46,1040935,89.15,89.88,88.85
933,26-11-2018,89.43,1211417,88.6,89.65,88.52
934,23-11-2018,87.86,652672,87.0,88.15,86.32
935,21-11-2018,87.26,1222686,88.09,88.09,86.99
936,20-11-2018,87.43,1186830,88.25,88.25,86.33
937,19-11-2018,88.99,1012456,88.67,89.32,88.43
938,16-11-2018,88.74,998382,87.72,89.0,87.2
939,15-11-2018,88.08,957960,85.91,88.19,85.22
940,14-11-2018,85.89,1479122,89.14,89.72,85.64
941,13-11-2018,88.65,1055822,88.71,89.35,88.13
942,12-11-2018,88.6,767803,90.38,90.55,88.32
943,09-11-2018,90.4,699096,90.94,91.31,89.6
944,08-11-2018,91.34,670632,90.01,91.45,90.01
945,07-11-2018,90.76,1037883,90.16,90.96,89.69
946,06-11-2018,89.61,829253,88.48,89.73,88.47
947,05-11-2018,88.76,817570,87.14,88.83,87.08
948,02-11-2018,87.0,738810,87.4,87.87,86.14
949,01-11-2018,87.0,1087773,86.57,87.48,85.94
950,31-10-2018,86.71,1160040,86.44,87.13,86.13
951,30-10-2018,85.83,1180541,84.47,85.94,83.68
952,29-10-2018,84.08,1393173,84.37,85.07,83.1
953,26-10-2018,83.51,1429449,83.0,84.15,82.13
954,25-10-2018,83.59,1788006,81.75,84.03,81.08
955,24-10-2018,81.49,2334681,81.21,82.86,79.99
956,23-10-2018,81.65,1851270,79.47,81.85,79.47
957,22-10-2018,81.01,952355,81.07,81.71,80.84
958,19-10-2018,80.72,666063,80.15,81.2,79.81
959,18-10-2018,79.96,829023,80.63,81.52,79.8
960,17-10-2018,80.63,2256206,81.16,81.36,79.31
961,16-10-2018,81.93,808249,80.71,82.27,80.39
962,15-10-2018,80.01,1045446,79.91,80.68,79.79
963,12-10-2018,80.02,1206422,82.88,82.88,79.09
964,11-10-2018,79.65,2048813,81.59,82.29,78.97
965,10-10-2018,81.97,929002,84.24,84.66,81.86
966,09-10-2018,84.45,658434,84.7,84.99,83.41
967,08-10-2018,84.94,599342,85.43,85.55,84.13
968,05-10-2018,85.53,601965,86.03,86.46,85.18
969,04-10-2018,85.83,932879,85.67,86.9,85.4
970,03-10-2018,85.76,903921,86.43,86.48,85.31
971,02-10-2018,85.92,1207684,87.06,87.13,85.44
972,01-10-2018,87.13,1008918,86.41,87.36,85.88
973,28-09-2018,85.8,998791,86.22,86.58,85.73
974,27-09-2018,86.45,1114091,86.21,86.78,86.07
975,26-09-2018,85.92,1379096,87.55,88.09,85.84
976,25-09-2018,87.68,1284913,90.01,90.08,87.64
977,24-09-2018,89.89,715255,90.3,90.34,89.74
978,21-09-2018,90.55,1322173,90.12,90.76,89.67
979,20-09-2018,89.85,873744,90.34,90.81,89.33
980,19-09-2018,89.97,859509,89.68,90.3,88.93
981,18-09-2018,90.09,834936,89.13,90.13,89.13
982,17-09-2018,89.12,1029123,90.75,90.75,88.99
983,14-09-2018,90.73,502342,91.53,91.93,90.66
984,13-09-2018,91.85,653769,91.76,91.96,90.9
985,12-09-2018,91.52,824812,93.82,94.14,91.34
986,11-09-2018,93.76,480764,93.14,94.16,92.8
987,10-09-2018,93.4,469728,93.36,94.1,93.19
988,07-09-2018,93.15,556035,93.07,93.7,92.8
989,06-09-2018,93.08,751718,94.42,94.98,92.97
990,05-09-2018,94.5,941778,96.58,96.84,94.25
991,04-09-2018,96.74,890917,95.51,96.76,95.47
992,31-08-2018,95.44,803981,94.42,95.56,93.99
993,30-08-2018,94.5,460464,94.71,94.81,94.29
994,29-08-2018,94.85,504959,95.06,95.39,94.53
995,28-08-2018,95.1,507929,95.17,95.93,94.99
996,27-08-2018,95.02,668180,94.83,95.77,94.83
997,24-08-2018,94.73,698174,93.35,94.96,93.24
998,23-08-2018,93.31,438737,92.84,93.56,92.84
999,22-08-2018,92.86,459622,92.22,92.99,91.91
1000,21-08-2018,92.53,631355,93.19,93.36,92.42
1001,20-08-2018,93.16,412647,92.9,93.36,92.8
1002,17-08-2018,93.04,526393,92.69,93.12,92.22
1003,16-08-2018,92.69,411134,92.99,93.2,92.2
1004,15-08-2018,92.1,582872,92.07,93.06,91.82
1005,14-08-2018,92.56,603110,92.22,92.73,92.18
1006,13-08-2018,92.0,472922,92.24,93.35,91.5
1007,10-08-2018,92.12,444464,92.21,93.59,91.64
1008,09-08-2018,92.82,418961,93.0,93.62,92.64
1009,08-08-2018,92.96,499145,93.47,93.62,92.81
1010,07-08-2018,93.35,745418,92.33,93.57,92.18
1011,06-08-2018,91.94,478435,91.4,92.01,91.31
1012,03-08-2018,91.49,586321,91.75,91.97,90.93
1013,02-08-2018,91.75,736808,90.9,92.18,90.58
1014,01-08-2018,91.39,848968,91.61,92.93,91.36
1015,31-07-2018,91.4,1315872,93.07,93.54,90.57
1016,30-07-2018,92.51,1272510,95.76,95.82,92.33
1017,27-07-2018,95.68,1246831,94.34,95.89,94.34
1018,26-07-2018,94.06,911075,94.07,94.61,93.87
1019,25-07-2018,94.11,1204747,94.0,94.29,92.31
1020,24-07-2018,95.23,1213668,95.66,95.66,95.05
1021,23-07-2018,95.51,750845,94.8,95.55,94.75
1022,20-07-2018,95.0,484881,94.73,95.08,94.3
1023,19-07-2018,95.0,564138,95.14,95.88,94.9
1024,18-07-2018,95.59,524919,94.52,95.65,94.4
1025,17-07-2018,94.45,604858,93.55,94.5,93.32
1026,16-07-2018,93.89,492169,93.16,94.41,93.16
1027,13-07-2018,93.11,606666,93.23,93.52,92.67
1028,12-07-2018,93.37,1184369,91.94,93.57,91.83
